px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0.0001	0	0	0	0	0	0	0	0	0	0
0.346428	-0.346374	0	0	0	0	0	0	0	0	0	1.75484
1.52835	-0.123347	0.42497	-3.46945e-17	-1.38778e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.3048
1.59293	0.0339728	1.54522	-0.109104	-0.0647672	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	14.3339
3.87565	-0.137808	1.72686	-0.0617318	0.10385	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.87181
3.90428	0.168638	1.9012	0.210981	0.606417	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	8.90781
6.84383	0.427597	2.20179	-0.553832	0.915702	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	3.07568
6.80765	0.488468	2.62649	-0.342589	0.924101	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.76968
9.07236	0.591842	2.68471	0.565666	0.91869	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.0256731
9.06133	0.782294	2.82616	0.542338	0.715684	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	5.23352
11.5655	1.67714	2.55298	0.436749	0.204745	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.44029
11.5891	1.56353	2.55948	0.353187	0.117311	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.15423
13.6085	2.31976	2.39134	0.384312	0.0625774	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.254647
13.6506	2.18287	2.50525	0.26836	-0.0542331	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	3.48413
16.5786	2.89281	3.06266	0.165408	-0.0840976	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	3.59303
16.5502	2.88872	2.90188	0.167301	-0.0835417	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.663
19.0165	3.7006	2.85636	0.354683	0.0898585	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.219709
19.0221	3.73369	2.7096	0.399553	0.148624	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.0007
21.3262	4.73255	2.73542	0.441075	0.0794545	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0464428
21.3533	4.72526	2.85388	0.407527	0.0271397	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.53374
24.0566	5.56659	3.00465	0.226624	-0.106159	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.48754
24.0812	5.61927	3.11091	0.246708	-0.0936974	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.01289
26.6112	6.95409	3.07578	0.562886	0.168702	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.453663
26.6119	6.94564	3.13966	0.536732	0.127046	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0936786
29.5586	8.08243	3.2858	0.283621	-0.120361	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.941369
29.5391	8.09868	3.16645	0.293719	-0.111472	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.543104
31.9516	9.87098	3.1197	0.758249	0.259026	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.927833
31.95	9.83095	3.1328	0.729049	0.228875	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	1.02612
34.6253	10.7322	2.63821	0.262703	-0.21776	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.52001
34.666	10.7749	2.88538	0.284065	-0.187031	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	1.96584
37.1382	12.0781	2.92213	0.543179	0.10074	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.540783
37.1648	12.0894	3.0796	0.506318	0.0362939	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0.950231
40.2808	13.4491	3.47621	0.315166	-0.112131	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	2.27233
40.241	13.4539	3.20051	0.319271	-0.114484	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.7299
42.7736	14.8248	3.15283	0.533876	0.0964192	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.320299
42.765	14.8351	3.21053	0.525913	0.0760433	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.327426
45.3462	16.5462	3.32141	0.61373	0.082908	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.145639
45.3599	16.5439	3.29813	0.618607	0.0984197	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.368085
48.166	17.3046	2.99546	0.179186	-0.245486	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	1.29261
48.1497	17.3111	2.91768	0.169384	-0.26997	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.479601
50.6256	19.0523	2.81986	0.798173	0.309923	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2.26031
50.6339	19.026	3.00216	0.690117	0.140814	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.830317
53.6916	19.8989	3.03083	0.0601908	-0.363117	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.61864
53.6809	19.8904	2.97471	0.0373446	-0.404048	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.161344
56.074	21.0674	2.49046	0.450623	0.118202	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	3.72754
56.0783	21.0575	2.64397	0.414918	0.0738175	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.575492
58.644	21.7809	2.78699	0.203989	-0.11038	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.511596
58.6457	21.7926	2.86956	0.225641	-0.0802393	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.195395
60.8873	22.7845	2.72031	0.4525	0.114034	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.452278
60.8819	22.7783	2.7403	0.446449	0.107168	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.13121
63.3758	23.4128	2.74427	0.182292	-0.129515	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.362557
63.3935	23.4217	2.67112	0.163447	-0.159903	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	0.981046
66.2961	23.9845	3.03605	0.217583	-0.0196446	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.85603
