px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0.0001	0	0	0	0	0	0	0	0	0	0
0.0001	0.0001	0	0	0	0	0	0	0	0	0	0
1.55942	-0.136453	1.55783	2.08167e-17	-1.38778e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.0213555
1.55942	-0.136453	1.55783	2.08167e-17	-1.38778e-17	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
3.88119	-0.134288	2.30362	0.00177447	0.0034961	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.22883
3.88119	-0.134288	2.30362	0.00177447	0.0034961	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
6.8548	0.411734	2.79691	0.497501	-0.0492205	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.38879
6.8548	0.411734	2.79691	0.497501	-0.0492205	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
9.07788	0.601543	2.56723	-0.0937174	-0.453798	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.488793
9.07788	0.601543	2.56723	-0.0937174	-0.453798	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
11.5686	1.65519	2.65221	0.912824	0.468628	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.59891
11.5686	1.65519	2.65221	0.912824	0.468628	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
13.5878	2.34803	2.04332	0.458655	-0.086358	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	3.70971
13.5878	2.34803	2.04332	0.458655	-0.086358	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
16.5856	2.89706	2.97941	-0.218406	-0.462998	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	5.44993
16.5856	2.89706	2.97941	-0.218406	-0.462998	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
19.0352	3.67476	2.50824	0.240661	0.0982454	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	3.92547
19.0352	3.67476	2.50824	0.240661	0.0982454	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
21.3219	4.72298	2.67248	0.58152	0.254634	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.337733
21.3219	4.72298	2.67248	0.58152	0.254634	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
24.0608	5.57324	2.83985	0.173439	-0.164143	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	1.28213
24.0608	5.57324	2.83985	0.173439	-0.164143	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
26.6033	6.94832	2.92544	0.627832	0.226042	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.962513
26.6033	6.94832	2.92544	0.627832	0.226042	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0
29.5692	8.08845	3.1569	0.240973	-0.163519	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.20104
29.5692	8.08845	3.1569	0.240973	-0.163519	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0
31.9534	9.86885	3.03517	0.763246	0.273151	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.34442
31.9534	9.86885	3.03517	0.763246	0.273151	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0
34.6143	10.7236	2.77218	0.227666	-0.243394	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.23761
34.6143	10.7236	2.77218	0.227666	-0.243394	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0
37.1369	12.075	2.89512	0.584361	0.139595	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.967124
37.1369	12.075	2.89512	0.584361	0.139595	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0
40.2992	13.4543	3.40879	0.29492	-0.131527	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	2.01233
40.2992	13.4543	3.40879	0.29492	-0.131527	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0
42.781	14.8263	3.20639	0.518438	0.0941545	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.64948
42.781	14.8263	3.20639	0.518438	0.0941545	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0
45.3517	16.5478	3.32839	0.656816	0.122699	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0976982
45.3517	16.5478	3.32839	0.656816	0.122699	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0
48.1579	17.3014	3.06892	0.172745	-0.26406	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	1.35572
48.1579	17.3014	3.06892	0.172745	-0.26406	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0
50.6336	19.0555	2.92768	0.760596	0.281644	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2.03719
50.6336	19.0555	2.92768	0.760596	0.281644	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0
53.7135	19.9153	2.9154	0.0311919	-0.364712	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.65677
53.7135	19.9153	2.9154	0.0311919	-0.364712	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0
