px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	0	0	0	0	0	0	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	0	0	0	0	0	0	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0
1.849e-316	24.0276	2.37349	0.508655	1.84888e-316	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0
