px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.46292	0.243462	0	0	0	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.49975	0.18154	-0.0389087	-1.26231e-19	3.50887e-18	8.56759	0.241943	8.45	0.25	0	0	0.00596131
8.49975	0.18154	-0.0389087	-1.26231e-19	3.50887e-18	8.45582	0.253997	8.45	0.25	0	0	0
8.40722	0.212838	-0.968733	-0.00592504	-0.000716693	8.42544	0.254042	8.35	0.25	-1.81979	0	26.7464
8.40722	0.212838	-0.968733	-0.00592504	-0.000716693	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.02016	0.193364	-1.3027	0.184961	0.0779604	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	31.4476
8.02016	0.193364	-1.3027	0.184961	0.0779604	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.71445	0.203517	-1.61382	-0.368804	-0.267184	7.61269	0.155818	7.7	0.15	-2.99982	0	22.9159
7.71445	0.203517	-1.61382	-0.368804	-0.267184	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.52813	0.108243	-1.68051	0.274542	0.218571	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.92604
7.52813	0.108243	-1.68051	0.274542	0.218571	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.26141	0.0943659	-2.01391	-0.00259493	-0.565528	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	16.7622
7.26141	0.0943659	-2.01391	-0.00259493	-0.565528	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
7.02199	-0.0593239	-1.95593	0.301362	-0.0389838	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	5.89066
7.02199	-0.0593239	-1.95593	0.301362	-0.0389838	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.78112	-0.249162	-2.04892	0.553347	0.356774	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	6.49714
6.78112	-0.249162	-2.04892	0.553347	0.356774	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.65462	-0.505234	-2.059	1.02473	1.35089	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	5.18793
6.65462	-0.505234	-2.059	1.02473	1.35089	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.51844	-0.765167	-2.13584	1.29565	1.56267	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	3.50611
6.51844	-0.765167	-2.13584	1.29565	1.56267	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.26633	-0.992067	-2.17173	1.13989	0.805882	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	20.2624
6.26633	-0.992067	-2.17173	1.13989	0.805882	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.31469	-1.33617	-2.29448	1.68114	1.62051	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	41.2188
6.31469	-1.33617	-2.29448	1.68114	1.62051	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.13479	-1.5894	-2.30483	1.58252	1.14093	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	28.1312
6.13479	-1.5894	-2.30483	1.58252	1.14093	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.1349	-1.89208	-2.48438	1.78925	1.30088	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	15.4717
6.1349	-1.89208	-2.48438	1.78925	1.30088	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
6.08144	-2.17963	-2.5219	1.77812	1.09116	6.32593	-2.40018	6.35	-2.4	0	-2.72613	11.3944
6.08144	-2.17963	-2.5219	1.77812	1.09116	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0
6.13773	-2.49347	-2.62061	1.88692	1.09018	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	4.43716
6.13773	-2.49347	-2.62061	1.88692	1.09018	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0
6.17104	-2.78239	-2.6251	1.90377	0.964068	6.46536	-3.00452	6.45	-3	0	-2.99754	6.10175
6.17104	-2.78239	-2.6251	1.90377	0.964068	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0
6.26209	-3.08643	-2.70378	1.97505	0.938374	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	3.52305
6.26209	-3.08643	-2.70378	1.97505	0.938374	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0
6.41381	-3.39704	-2.79552	2.07961	0.951956	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	4.22785
6.41381	-3.39704	-2.79552	2.07961	0.951956	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0
6.54802	-3.69022	-2.79148	2.12958	0.8852	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.86408
6.54802	-3.69022	-2.79148	2.12958	0.8852	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0
